Date,High,Low,Open,Close,Volume,Adj Close,Name
2022-01-20,353.5,343.5,347.5,349.0,1436649,349.0,YCA.L
2022-01-21,345.5,325.0,342.5,326.0,1541642,326.0,YCA.L
2022-01-24,325.5,298.0,324.0,307.0,3200139,307.0,YCA.L
2022-01-25,317.5,301.5,311.0,313.0,1690158,313.0,YCA.L
2022-01-26,326.0,317.0,321.0,322.5,1530063,322.5,YCA.L
2022-01-27,326.0,308.5,311.0,320.0,1201329,320.0,YCA.L
2022-01-28,323.0,310.0,320.0,316.0,851658,316.0,YCA.L
2022-01-31,323.0,313.5,323.0,319.0,1157560,319.0,YCA.L
2022-02-01,323.5,317.0,320.0,319.0,808685,319.0,YCA.L
2022-02-02,324.0,316.0,320.0,316.0,1029876,316.0,YCA.L
2022-02-03,317.5,307.0,315.0,311.0,1461275,311.0,YCA.L
2022-02-04,316.5,307.0,315.5,310.0,2167371,310.0,YCA.L
2022-02-07,324.0,310.7560119628906,313.0,318.5,1177717,318.5,YCA.L
2022-02-08,321.0,310.5,319.0,316.5,1122741,316.5,YCA.L
2022-02-09,323.0,315.0,319.0,318.0,1357510,318.0,YCA.L
2022-02-10,330.0,313.0,324.0,330.0,2451135,330.0,YCA.L
2022-02-11,335.5,319.5,321.5,332.0,1829751,332.0,YCA.L
2022-02-14,328.0,316.5,325.5,322.5,1200747,322.5,YCA.L
2022-02-15,325.5,318.0,322.5,320.0,1494669,320.0,YCA.L
2022-02-16,324.18499755859375,317.0,323.0,319.5,1048752,319.5,YCA.L
2022-02-17,320.5,312.5,320.0,315.0,562578,315.0,YCA.L
2022-02-18,316.5,308.5,312.0,310.5,700934,310.5,YCA.L
2022-02-21,313.5,306.0,311.0,308.0,737969,308.0,YCA.L
2022-02-22,313.0,301.5,305.5,311.5,996363,311.5,YCA.L
2022-02-23,319.5,306.0,316.0,310.0,1497127,310.0,YCA.L
2022-02-24,317.92498779296875,301.0,302.0,315.5,2583512,315.5,YCA.L
2022-02-25,325.0,293.5,323.0,319.0,4776021,319.0,YCA.L
2022-02-28,359.5,324.0,325.0,352.0,7723997,352.0,YCA.L
2022-03-01,364.5,350.5,354.0,360.0,3997270,360.0,YCA.L
2022-03-02,374.0,358.5,361.0,372.5,4855951,372.5,YCA.L
2022-03-03,385.0,372.7250061035156,377.0,377.5,2375268,377.5,YCA.L
2022-03-04,370.0,333.0,368.0,338.5,4758860,338.5,YCA.L
2022-03-07,372.0,345.5,347.0,367.5,4401269,367.5,YCA.L
2022-03-08,372.0,359.0,363.0,372.0,2355239,372.0,YCA.L
2022-03-09,390.0,374.0,380.0,380.0,2938240,380.0,YCA.L
2022-03-10,427.5,397.0,398.5,419.0,7509066,419.0,YCA.L
2022-03-11,454.5,422.0,422.0,432.0,4648090,432.0,YCA.L
2022-03-14,426.0480041503906,387.5,422.0,392.0,2650524,392.0,YCA.L
2022-03-15,391.5,358.0,390.0,373.0,2712475,373.0,YCA.L
2022-03-16,388.94000244140625,367.5,385.0,375.5,2852452,375.5,YCA.L
2022-03-17,396.5,369.0,377.0,388.0,2404148,388.0,YCA.L
2022-03-18,404.0,385.0,395.5,395.0,1848960,395.0,YCA.L
2022-03-21,425.0,392.760009765625,398.0,413.0,2476422,413.0,YCA.L
2022-03-22,428.5,415.5,420.0,423.5,2128551,423.5,YCA.L
2022-03-23,434.5,420.0,420.0,430.5,1669459,430.5,YCA.L
2022-03-24,439.5,408.5,429.0,426.0,1235732,426.0,YCA.L
2022-03-25,436.5,414.5,435.5,423.5,1250603,423.5,YCA.L
2022-03-28,427.5,407.0,424.0,411.5,1347568,411.5,YCA.L
2022-03-29,419.0,388.2439880371094,411.5,393.0,4457091,393.0,YCA.L
2022-03-30,409.5,398.0,403.0,405.0,1815788,405.0,YCA.L
2022-03-31,408.5,397.0,404.5,397.5,2977641,397.5,YCA.L
2022-04-01,433.20001220703125,401.0,402.6000061035156,423.6000061035156,2431025,423.6000061035156,YCA.L
2022-04-04,447.0,423.3999938964844,428.3999938964844,428.79998779296875,2331457,428.79998779296875,YCA.L
2022-04-05,452.6000061035156,426.57000732421875,437.0,450.3999938964844,3342216,450.3999938964844,YCA.L
2022-04-06,456.3999938964844,433.6000061035156,446.20001220703125,447.6000061035156,1903954,447.6000061035156,YCA.L
2022-04-07,468.20001220703125,445.6000061035156,452.0,465.6000061035156,2692738,465.6000061035156,YCA.L
2022-04-08,483.20001220703125,466.3999938964844,470.0,473.20001220703125,2686141,473.20001220703125,YCA.L
2022-04-11,476.57000732421875,456.6000061035156,476.20001220703125,460.6000061035156,1796682,460.6000061035156,YCA.L
2022-04-12,478.6000061035156,458.92401123046875,460.0,473.6000061035156,1710369,473.6000061035156,YCA.L
2022-04-13,486.79998779296875,474.0,480.0,485.0,1941568,485.0,YCA.L
2022-04-14,484.0,469.3999938964844,482.0,471.0,1008216,471.0,YCA.L
